canonical_smiles,value
*CC(*)(C)C(=O)OCCOCC,1.1
*CC(*)C(=O)OCC(CC)CC,1.03
*CC(*)(C)C(=O)OCC(CC)CC,1.01
*CC(*)C(=O)OCC(CC)CCCC,1
*CC(*)(C)C(=O)OCC(CC)CCCC,0.99
*CC(*)C(=O)Oc1ccccc1C(=O)OC,1.25
*CC(*)C(=O)OCCOC,1.17
*CC(*)C(=O)OC(CCC(CC)CCCC)CC(C)C,0.95
*CC(*)C(=O)OCC(C)CC,1.05
*CC(*)C(=O)OCC(C)CCC,1.03
*CC(*)C(=O)Oc1ccc2ccccc2c1,1.18
*CC(*)C(=O)OC(C)CCCCCC,1
*CC(*)(C)C(=O)OCCc1ccccc1,1.11
*CC(*)C(=O)Oc1ccccc1C(C)(C)C,1.08
*CC(*)C(=O)OC1CC(C)CC(C)(C)C1,1.01
*CC(*)(C)C(=O)OC1CC(C)CC(C)(C)C1,1
*CC(*)(C)C(=O)OC(C)C(C)(C)C,1.01
*CC(*)(C)C(=O)OCCC(C)(C)C,1.01
*CC(*)(C)C(=O)OCCC(C)CC(C)(C)C,0.98
*CC(*)C(=O)Oc1cccc(C(=O)OCC)c1,1.22
*CC(*)C(=O)OCCOCC,1.13
*CC(*)C(=O)OCCC(C)OC,1.1
*CC(*)C(=O)Oc1cccc(C(=O)OC)c1,1.25
*CC(*)C(=O)OCCCOC,1.13
*CC(*)C(=O)OCCC(C)C,1.05
*CC(*)(C)C(=O)OCCOC,1.13
*CC(*)C(=O)OC(CC)CC,1.05
*CC(*)C(=O)Oc1ccc(-c2ccccc2)cc1,1.17
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,1.17
*CC(*)C(=O)Oc1ccc(C(=O)OCC)cc1,1.22
*CC(*)C(=O)Oc1ccc(C(=O)OC)cc1,1.25
*CC(*)(C)C(=O)Oc1ccc(C(=O)OC)cc1,1.22
*CC(*)C(=O)Oc1ccc(OC)cc1,1.16
*CC(*)(C)C(=O)OC1CCC(C(C)(C)C)CC1,0.99
*CC(*)C(=O)Oc1ccc(C(C)(C)C)cc1,1.08
*CC(*)(C)C(=O)OCc1ccccc1,1.14
*CC(*)C(=O)OCCCC,1.07
*CC(*)(C)C(=O)OCCCC,1.05
*CC(*)(C)C(=O)OC1CCC1,1.09
*CC(*)C(=O)OC1CCCCC1,1.07
*CC(*)(C)C(=O)OC1CCCCC1,1.05
*C(C)C(*)C(=O)OC1CCCCCCC1,1.01
*CC(*)(C)C(=O)OC1CCCC1,1.07
*CC(*)C(=O)OCCCCCCCCCCCC,0.96
*CC(*)(C)C(=O)OCCCCCCCCCCCC,0.96
*CC(*)C(=O)OCC,1.15
*CC(*)C(=O)OCc1ccco1,1.27
*CC(*)C(=O)OCC1CO1,1.08
*CC(*)C(=O)OCCCCCCC,1.01
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,0.94
*CC(*)C(=O)OCCCCCC,1.03
*CC(*)(C)C(=O)OCCCCCC,1.01
*CC(*)C(=O)OCC(C)C,1.07
*CC(*)(C)C(=O)OCC(C)C,1.05
*CC(*)C(=O)OC(C)C,1.11
*CC(*)(C)C(=O)OC(C)C,1.07
*CC(*)C(=O)OC1C=C(C)C=CC1,1.12
*CC(*)C(=O)OC,1.22
*CC(*)(C)C(=O)OC,1.15
*CC(*)(C)C(=O)OCCCCCCCCCC,0.97
*CC(*)C(=O)OCCCCCCCC,1
*CC(*)C(=O)OCC(C)(C)C,1.05
*CC(*)C(=O)OCCCCCCCCC,0.99
*CC(*)C(=O)Oc1ccccc1C,1.15
*CC(*)C(=O)Oc1ccc(C)cc1,1.15
*CC(*)(C)C(=O)OCCCCC,1.03
*CC(*)C(=O)OCCc1ccccc1,1.14
*CC(*)(C)C(=O)Oc1ccccc1,1.15
*CC(*)C(=O)OCCC,1.11
*CC(*)(C)C(=O)OCCC,1.07
*CC(*)C(=O)OC(C)CC,1.07
*CC(*)(C)C(=O)OC(C)CC,1.05
*CC(*)C(=O)OC(C)(C)C,1.07
*CC(*)(C)C(=O)OC(C)(C)C,1.05
*CC(*)(C)C(=O)OCCCCCCCCCCCCCC,0.95
*OCCOC(=O)Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1,1.37
*OC(=O)C(*)C,1.31
*OC(=O)CC(*)C,1.22
*OC(=O)Oc1ccc(-c2ccc(Cc3ccc(-c4ccc(*)cc4)cc3)cc2)cc1,1.21
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCC(*)=O)CC2)CC1,1.01
*OC(=O)Oc1ccc(C(C)(CCCC)c2ccc(*)cc2)cc1,1.15
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,1.1
*CC(*)C(=O)OCC(CCl)(CCl)CCl,1.43
*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)cc2)cc1,1.2
*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)c(C)c2)cc1C,1.16
*OC(=O)Oc1ccc(C(C)(CCC)c2ccc(*)cc2)cc1,1.16
*CC(*)c1ccccc1C(=O)OCCN(C)C,1.1
*OC(=O)Oc1ccc(C(C)c2ccc(*)cc2)cc1,1.23
*OC(=O)Oc1ccc(C2(c3ccc(*)cc3)CCCC2)cc1,1.19
*OC(=O)Oc1ccc(C2(c3ccc(*)cc3)CCCCC2)cc1,1.17
*OC(=O)Oc1c(Cl)cc(C2(c3cc(Cl)c(*)c(Cl)c3)CCCCC2)cc1Cl,1.43
*OC(=O)Oc1ccc(C(CCC)c2ccc(*)cc2)cc1,1.18
*OCCC(*)(CCl)CCl,1.37
*OC(=O)Oc1ccc(CC(C)(C)c2ccc(*)cc2)cc1,1.18
*OC(=O)Oc1ccc(C(C)(c2ccccc2)c2ccc(*)cc2)cc1,1.21
*C(C)C(*)C(=O)OCCN=O,1.29
*CC(*)OC(=O)CCCC,1.07
*CC(*)N1CCCC1=O,1.11
*CC(*)OC(=O)CC,1.15
*CC(*)Sc1ccccc1,1.15
*CC(*)C(=O)c1ccccc1,1.16
*CC(*)C(C)=O,1.12
*CC(*)OC=O,1.34
*CC(*)C(=O)CC,1.06
*CC(*)OC(=O)CCl,1.46
*CC(*)n1c2ccccc2c2ccccc21,1.13
*CC(*)OC(=O)CCCCC,1.05
*CC(*)OC(=O)CCC,1.11
*CC(*)OC(=O)c1ccccc1,1.22
*CC(*)OC(C)=O,1.22
*CCCOC(=O)c1ccc(C(=O)O*)cc1,1.31
*CCCCC(=O)OCCCCOC(*)=O,1.15
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(C)c2)cc1C,1.13
*CC(*)(Cl)C(=O)OC(C)CC,1.22
*CC(C)C(*)=O,1.12
*CC(*)C,0.87
*SCC(*)C,1.09
*OCCCOC(=O)CCC(*)=O,1.26
*CC(C)OC(=O)O*,1.31
*CC(*)(Cl)CC(=O)OCCC,1.22
*CC(*)(Cl)C(=O)OCCC,1.28
*CC(*)C(=O)NN1CCCCC1,1.08
*NC1CNC(NC(=O)CCCCCCCCC(*)=O)CN1,1.14
*OC(=O)c1ccc(*)cc1,1.32
*NCc1ccc(CNC(=O)CCCCCCCCC(*)=O)cc1,1.1
*OC(=O)c1ccc(CCCCc2ccc(C(*)=O)cc2)cc1,1.21
*NCCCCCCCCNC(=O)CCCCCCC(*)=O,1.03
